TID Lib Viability Chr HeTA TAHRE blood burdock Gene Synonym mean_col status tag1 tag2 tag3 tag4
100204 KK viable 2 -3.465160427083045 -3.769828313601347 -2.9986824825771947 -2.24296100473311 CG10267 Zif -3.1191580569986743 4 1 1 1 1
110316 KK viable 2 -3.5957361581286613 -3.8385998511915878 -2.841579699353684 -1.8701911021826132 CG7429 CG7429 -3.0365267027141365 3 1 1 1 1
104471 KK viable 2 -3.956231984718371 -4.093992003542251 -1.816480738977209 -1.90509837949281 CG1101 Aly -2.94295077668266 2 1 1 1 1
19573 GD sterile 3 -3.064194891346754 -3.891369672215898 -2.765900886349803 -1.9420520913644408 CG15717 CG15717 -2.915879385319224 3 1 1 1 1
102621 KK viable 2 -3.56781200060543 -3.286494451062831 -4.794811390573782 0.3091442965900839 CG4415 CG4415 -2.83499338641299 3 1 1 1 1
109331 KK viable 2 -3.1336915762684465 -2.990191453570988 -3.986050210912859 -0.9002715680015178 CG11133 BoYb -2.7525512021884526 3 1 1 1 1
40480 GD viable 3 -2.9795324260764913 -3.2909372725327986 -4.077838055335058 -0.6484615371890573 CG3893 CG3893 -2.7491923227833515 3 1 1 1 1
104114 KK viable 2 -2.756677409789075 -1.859678460718388 -4.610029088844227 -1.751894383500406 CG32135 Nxf3 -2.744569835713024 2 1 1 1 1
1316 GD viable 2 -2.89062100649121 -2.695273898257097 -3.896252890042224 -1.2045082516544523 CG5508 CG5508 -2.671664011611246 3 1 1 1 1
110461 KK viable 2 -2.9914583794885243 -2.853795867336345 -2.6998571241052765 -2.1255758223157852 CG12892 Caf1-105 -2.6676717983114826 4 1 1 1 1
6557 GD viable 3 -2.452115719647369 -2.5175701248320457 -2.0832422439440976 -3.4517976648667226 CG8581 fra -2.6261814383225586 4 1 1 1 1
105719 KK viable 2 -2.7901933761111573 -2.9119418772102943 -3.1011464809385747 -1.6845632169427776 CG12340 wde -2.621961237800701 3 1 1 1 1
109454 KK viable 2 -2.3461277114952233 -3.0118717874404326 -1.9807813905985034 -3.1331566258344514 CG4637 hh -2.6179843788421526 3 1 1 1 1
108960 KK viable 2 -3.0115602463677127 -3.118916356350921 -3.9048944096889775 -0.4306347571356928 CG5163 TfIIA-S -2.616501442385826 3 1 1 1 1
110433 KK viable 2 -2.465427485527965 -3.1456007777445136 -2.023213547434884 -2.762105607241843 CG10726 barr -2.599086854487301 4 1 1 1 1
